bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
861.45,861.4,861.3,861.25,861.2,861.7,861.75,861.8,861.85,861.9,1368,85,934,309,2109,9,98,237,304,899,2,2,9,3,16,1,2,7,4,5,1720782092.62868
861.65,861.5,861.45,861.4,861.35,861.8,861.85,861.9,861.95,862.0,83,589,1232,579,323,58,43,69,4474,87721,1,4,3,8,5,1,1,3,11,481,1720782093.639446
861.5,861.45,861.4,861.35,861.3,861.8,861.85,861.9,861.95,862.0,100,1232,555,319,1586,99,349,508,4704,87721,1,3,6,6,9,3,3,6,14,481,1720782093.830725
861.45,861.4,861.35,861.3,861.25,861.7,861.75,861.8,861.85,861.9,940,383,262,1455,217,60,162,377,800,1083,1,4,4,8,2,1,1,6,7,5,1720782094.889187
861.55,861.5,861.45,861.4,861.35,861.9,861.95,862.0,862.05,862.1,32,199,584,655,106,2160,5049,87278,703,5347,1,3,2,8,5,5,14,483,8,17,1720782095.833005
861.6,861.55,861.5,861.45,861.4,861.95,862.0,862.05,862.1,862.15,125,169,597,802,831,3467,87916,1208,4457,1374,1,3,6,5,9,7,483,5,15,8,1720782096.843465
861.65,861.6,861.55,861.5,861.45,861.95,862.0,862.05,862.1,862.15,33,32,129,588,676,2923,82194,1076,4672,2321,1,1,2,5,5,6,480,6,18,12,1720782097.833008
861.6,861.55,861.5,861.45,861.4,861.9,861.95,862.0,862.05,862.1,70,362,584,826,1340,454,1568,81138,322,4559,1,4,6,6,10,2,8,480,5,15,1720782099.03796
861.7,861.6,861.55,861.5,861.45,861.95,862.0,862.05,862.1,862.15,1000,1,135,649,780,1463,83817,225,5373,2110,1,1,3,7,5,6,485,3,19,8,1720782100.23907
861.75,861.7,861.65,861.6,861.55,861.95,862.0,862.05,862.1,862.15,10,1003,75,268,340,337,82390,1176,4665,1726,1,2,1,4,6,4,479,7,16,12,1720782101.240263
861.8,861.75,861.7,861.65,861.6,861.95,862.0,862.05,862.1,862.15,168,37,960,75,124,60,79429,2676,4002,2487,1,1,2,1,2,1,440,9,17,14,1720782102.245128
861.8,861.75,861.7,861.65,861.6,861.9,861.95,862.0,862.05,862.1,302,34,772,75,59,65,50,78239,374,5521,2,1,2,1,2,1,1,422,7,18,1720782103.286032
861.8,861.75,861.7,861.65,861.6,861.85,861.9,861.95,862.0,862.05,34,90,772,129,303,43,93,882,77857,280,1,1,2,2,7,1,1,3,422,5,1720782104.239149
861.7,861.65,861.6,861.55,861.5,861.85,861.9,861.95,862.0,862.05,168,34,27,300,752,60,5,1456,79647,2823,1,1,1,4,5,1,1,9,428,12,1720782105.243463
861.6,861.55,861.5,861.45,861.4,861.85,861.9,861.95,862.0,862.05,200,748,888,694,698,61,343,1011,78185,1340,1,7,7,4,7,1,3,11,427,10,1720782106.437665
861.85,861.75,861.65,861.6,861.55,861.95,862.0,862.05,862.1,862.15,13,7,78,273,472,1852,79694,4265,3715,2512,1,1,1,2,5,10,429,12,14,13,1720782107.438373
861.85,861.65,861.6,861.55,861.5,861.95,862.0,862.05,862.1,862.15,23,118,195,547,1138,297,78673,1402,7460,2165,1,1,2,6,10,7,429,7,19,9,1720782108.442652
861.8,861.65,861.6,861.55,861.5,861.9,862.0,862.05,862.1,862.15,22,284,274,874,1061,97,77621,1406,7063,1414,2,2,3,10,7,1,417,7,21,8,1720782109.637191
861.8,861.65,861.6,861.55,861.5,862.0,862.05,862.1,862.15,862.2,22,356,274,1008,1132,77482,1406,7063,1414,8650,2,3,3,12,8,417,7,21,8,20,1720782109.852947
861.65,861.6,861.55,861.5,861.45,861.95,862.0,862.05,862.1,862.15,11,100,341,659,1004,602,76780,3254,4611,3151,1,1,6,4,8,4,420,13,15,13,1720782111.04668
861.6,861.55,861.5,861.45,861.4,861.85,861.9,861.95,862.0,862.05,34,245,645,672,542,56,214,1313,79150,2486,1,5,4,4,7,1,4,9,425,11,1720782112.043535
861.6,861.5,861.45,861.4,861.35,861.8,861.85,861.9,861.95,862.0,158,401,676,135,180,239,428,1624,4585,76754,2,2,4,2,3,2,2,5,22,422,1720782113.248809
861.4,861.35,861.3,861.25,861.2,861.7,861.75,861.8,861.85,861.9,1,130,462,344,1098,863,1122,2742,796,2761,1,3,3,4,9,5,7,9,6,10,1720782114.454311
861.4,861.35,861.3,861.25,861.2,861.75,861.8,861.85,861.9,861.95,274,154,536,382,1581,423,2495,2189,1696,3681,3,4,4,6,14,1,12,6,8,19,1720782115.640153
