ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,ch,chp,time
1027.0,1804585,1721106055,1721106055,209,2049,1026.95,1027.0,1,435533,950848,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.55,0.2489,1721125856.166222
1026.95,1804585,1721106055,1721106056,209,2049,1026.95,1027.0,2,435533,950848,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.5,0.244,1721125856.264061
1026.95,1804608,1721106056,1721106056,186,2049,1026.95,1027.0,6,435901,950977,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.5,0.244,1721125856.865068
1026.95,1804608,1721106056,1721106057,186,2049,1026.95,1027.0,25,435901,950977,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.5,0.244,1721125857.154654
1027.0,1804636,1721106057,1721106057,160,2047,1026.95,1027.0,2,435573,952011,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.55,0.2489,1721125857.909942
1027.0,1804636,1721106057,1721106058,160,2047,1026.95,1027.0,2,435573,952011,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.55,0.2489,1721125858.154577
1027.0,1804650,1721106058,1721106058,160,2543,1026.95,1027.0,1,433882,953563,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.55,0.2489,1721125859.066619
1027.0,1804650,1721106058,1721106059,160,2543,1026.95,1027.0,1,433882,953563,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.55,0.2489,1721125859.156204
1026.95,1805052,1721106060,1721106060,44,213,1026.7,1026.95,2,430616,953741,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.5,0.244,1721125860.369441
1026.95,1805058,1721106060,1721106060,44,207,1026.7,1026.95,1,427993,954706,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.5,0.244,1721125860.674993
1026.95,1805058,1721106060,1721106061,44,207,1026.7,1026.95,1,427993,954706,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.5,0.244,1721125861.188791
1026.7,1805211,1721106061,1721106061,19,177,1026.7,1026.8,25,431442,957843,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.25,0.2196,1721125861.656914
1026.65,1805211,1721106061,1721106062,19,177,1026.7,1026.8,1,431442,957843,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.2,0.2147,1721125862.256631
1026.65,1805517,1721106062,1721106062,43,175,1026.65,1026.8,5,431349,958889,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.2,0.2147,1721125862.674097
1026.8,1805517,1721106062,1721106063,43,175,1026.65,1026.8,1,431349,958889,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.35,0.2294,1721125863.338045
1026.65,1805529,1721106063,1721106063,365,93,1026.65,1026.8,10,430989,960205,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.2,0.2147,1721125863.655711
1026.8,1805529,1721106063,1721106064,365,93,1026.65,1026.8,5,430989,960205,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.35,0.2294,1721125864.260206
1026.8,1805537,1721106064,1721106064,365,85,1026.65,1026.8,2,432445,958623,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.35,0.2294,1721125864.873029
1026.8,1805537,1721106064,1721106065,365,85,1026.65,1026.8,2,432445,958623,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.35,0.2294,1721125865.170607
1026.8,1805587,1721106065,1721106065,360,83,1026.65,1026.8,2,432549,958061,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.35,0.2294,1721125865.897962
1026.65,1805587,1721106065,1721106066,360,83,1026.65,1026.8,2,432549,958061,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.2,0.2147,1721125866.206049
1026.7,1805596,1721106066,1721106066,971,35,1026.65,1026.7,5,433207,958208,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.25,0.2196,1721125867.076505
1026.65,1805596,1721106066,1721106067,971,35,1026.65,1026.7,5,433207,958208,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.2,0.2147,1721125867.161527
1026.8,1805721,1721106067,1721106067,611,82,1026.75,1026.8,1,435780,957577,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.35,0.2294,1721125867.940681
1026.75,1805721,1721106067,1721106068,611,82,1026.75,1026.8,8,435780,957577,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.3,0.2245,1721125868.355818
1026.8,1805747,1721106068,1721106068,340,74,1026.65,1026.8,3,434564,956643,1023.16,1019.2,1028.5,0,0,1025.5,1024.45,2.35,0.2294,1721125868.877581
